# frequency,filingStatus,variant,minCents,maxCents,taxCents
# Auto-generated from IRS Pub. 15-T 2025 wage-bracket biweekly table.
frequency,filingStatus,variant,minCents,maxCents,taxCents
BIWEEKLY,SINGLE,STEP2_CHECKBOX,103000,104500,8500
BIWEEKLY,MARRIED,STANDARD,104500,106000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,104500,106000,4800
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,104500,106000,1900
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,104500,106000,6800
BIWEEKLY,SINGLE,STANDARD,104500,106000,4800
BIWEEKLY,SINGLE,STEP2_CHECKBOX,104500,106000,8700
BIWEEKLY,MARRIED,STANDARD,106000,107500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,106000,107500,5000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,106000,107500,2000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,106000,107500,7000
BIWEEKLY,SINGLE,STANDARD,106000,107500,5000
BIWEEKLY,SINGLE,STEP2_CHECKBOX,106000,107500,8900
BIWEEKLY,MARRIED,STANDARD,107500,109000,0
